@relation trainfeatures

@attribute instance_id string
@attribute repetition numeric
@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute E numeric
@attribute F numeric
@attribute G numeric
@attribute H numeric
@attribute I numeric
@attribute J numeric
@attribute K numeric
@attribute L numeric
@attribute M numeric
@attribute N numeric
@attribute O numeric
@attribute P numeric
@attribute Q numeric
@attribute R numeric
@attribute S numeric
@attribute T numeric
@attribute U numeric
@attribute V numeric
@attribute W numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute AA numeric
@attribute AB numeric
@attribute AC numeric
@attribute AD numeric
@attribute AE numeric
@attribute AF numeric
@attribute AG numeric
@attribute AH numeric
@attribute AI numeric
@attribute AJ numeric
@attribute AK numeric
@attribute AL numeric
@attribute AM numeric

@data
xPciirDobZnPZUfjdeUu,1,-6.37195,1.694199,0.648025,-3.322549,-0.932388,1.526221,-1.03162,1.827746,-2.581542,0.212844,2.244091,1.350278,-0.390042,0.331162,-0.119199,-0.002946,0.270379,-0.336772,-0.344905,-0.970382,0.245765,-0.595407,-0.768977,0.319653,0.016626,0.416095,-0.723667,-0.07607,0.00504,-0.264258,0.20553,-0.225711,0.045517,0.132998,0.28365,-0.260889,0.400353,0.195183,0.104934
MBWaZSIqgEPijOfwDbKn,1,6.392143,2.032076,-1.250116,-4.162234,2.792462,-5.75342,-2.805111,6.869246,3.247244,-5.294449,1.567157,-3.425681,1.648959,2.085639,0.983571,-1.670665,1.375934,-0.201032,-0.88789,-0.78517,2.089202,-1.79334,-0.091622,-1.633372,1.260701,0.561547,0.539293,-0.166325,-0.249355,0.806648,0.611185,0.339215,-0.297014,-0.015795,-0.207846,0.12875,-0.41576,0.005866,0.513312
QaZRMOKgTpsnrhXEuHBB,1,4.288401,1.53146,0.567288,1.030529,1.456789,0.564585,-1.838588,-1.649704,0.16371,1.191643,-2.528019,0.086487,-2.109359,0.927761,1.875162,-3.211767,1.063095,-0.843237,-0.217635,0.920324,0.318606,-0.194627,1.098397,0.348435,0.262417,-0.072406,-0.743634,0.054561,0.326972,-0.184653,1.184688,0.126493,0.88061,0.007321,0.68949,0.187214,1.24213,0.304638,-0.111189
vQdqkIfkvTkdWnRrlHxw,1,-1.705192,0.649995,0.938375,0.168391,-3.589535,-0.325889,-0.931823,0.159268,-0.654853,-1.982791,-1.553254,0.562689,0.152604,-0.263992,0.134609,0.429723,-0.362409,0.094368,-0.102983,-0.234984,-0.240575,0.303034,0.598956,-0.066298,-0.243851,0.029278,-0.128794,-0.17767,0.287746,0.004965,0.099836,0.011998,-0.165503,-0.02935,-0.031929,-0.039911,-0.247288,0.297071,0.038537
ISXwlVbKMmIkBlaGxeVk,1,-5.701516,0.528598,3.401242,-2.341418,-1.232473,0.387623,1.375564,0.209207,1.083967,0.875615,0.42192,-1.05965,-0.95286,0.971205,-0.759667,-0.540321,-0.471049,0.459061,0.203814,0.519853,0.398544,0.09911,0.244586,-0.164945,-0.01007,-0.511243,0.151818,0.105141,-0.366105,0.292986,0.213236,-0.054342,-0.063851,-0.259001,0.232034,-0.676394,0.18639,0.027597,-0.34934
InQYNZwvfKcEioYyflpY,1,5.975645,-2.385715,-4.473325,-2.139956,-2.073401,2.421944,-1.376723,-1.417571,0.109528,-0.417873,0.939054,1.51094,2.232857,-1.398771,1.17608,0.491696,-0.941519,0.820524,0.568623,2.076264,0.830335,0.29677,-1.50143,0.152667,-0.479071,-0.435575,1.436875,0.806995,0.385863,-0.886451,0.968276,0.55276,-1.36564,0.445,0.635,1.211438,1.033095,0.197666,0.000033
AkAZuVjpRYFaOXTGDYUw,1,-5.830893,0.82699,3.15312,-2.493333,-1.177594,0.370572,1.124117,0.105014,1.123482,0.878387,0.299255,-1.080438,-0.928967,1.024365,-0.790085,-0.536422,-0.490369,0.475709,0.178742,0.537226,0.321959,0.120729,0.229718,-0.120913,-0.039977,-0.442293,0.194392,0.113386,-0.33223,0.247713,0.172058,-0.019546,-0.078962,-0.234453,0.22184,-0.594758,0.188428,0.01336,-0.372566
ZCCMRkVWafiEPkwLsKgk,1,-0.516839,-7.132535,-4.9037,-0.484902,4.060453,-3.634551,-5.659577,-5.400313,0.6787,-0.449716,0.734895,0.253691,-2.466612,-0.008155,0.51996,2.341491,0.491164,0.952976,-0.306379,-3.10144,2.64746,0.248325,0.895087,0.895467,0.559735,0.507911,-0.594308,1.223955,1.150101,-0.840024,0.033218,-0.194105,-0.167008,1.041511,0.46688,0.400554,-0.430882,-0.260544,0.135807
QDVTyLKOeMMtiWdpPWMp,1,-2.07598,0.590339,0.670723,0.068925,-3.311151,-0.368833,-1.067168,0.126477,-0.558551,-1.710234,-1.55831,0.658151,0.065261,-0.166763,0.290999,0.106735,-0.013368,0.106998,-0.16033,0.00757,-0.35487,0.260295,1.000751,-0.057182,-0.181121,0.121747,-0.309214,0.006465,0.195139,0.039664,0.614288,0.284713,0.156842,0.044746,0.252958,-0.042673,-0.215355,0.248385,-0.003768
ynJwouobtOmHCwfjUews,1,-4.966056,-6.634026,-2.176934,2.851986,-0.848164,-2.213012,0.325173,2.863612,-1.215274,1.741908,-0.337714,-2.621178,-1.619329,0.867344,0.360885,-1.18323,-0.464093,0.047149,2.483052,0.225742,-0.17089,0.687365,0.328064,-0.830524,-2.901601,0.150395,-0.125689,-2.833505,-0.463911,-0.443747,-0.679517,0.048591,-0.291499,0.166944,-0.1848,0.791032,0.290832,-0.135937,0.440568
