@relation trainruns

@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute runtime numeric
@attribute runstatus {ok,timeout,memout,not_applicable,crash,other}

@data
xPciirDobZnPZUfjdeUu,1,ebglucose,1200,timeout
xPciirDobZnPZUfjdeUu,1,ebminisat,1200,timeout
xPciirDobZnPZUfjdeUu,1,glucose2,1200,timeout
xPciirDobZnPZUfjdeUu,1,glueminisat,1200,timeout
xPciirDobZnPZUfjdeUu,1,lingeling,1200,timeout
xPciirDobZnPZUfjdeUu,1,lrglshr,1200,timeout
xPciirDobZnPZUfjdeUu,1,minisatpsm,1200,timeout
xPciirDobZnPZUfjdeUu,1,mphaseSAT64,0.66,ok
xPciirDobZnPZUfjdeUu,1,precosat,1200,timeout
xPciirDobZnPZUfjdeUu,1,qutersat,1200,timeout
xPciirDobZnPZUfjdeUu,1,rcl,1200,timeout
xPciirDobZnPZUfjdeUu,1,restartsat,1200,timeout
xPciirDobZnPZUfjdeUu,1,cryptominisat2011,1200,timeout
xPciirDobZnPZUfjdeUu,1,spear-sw,1200,timeout
xPciirDobZnPZUfjdeUu,1,spear-hw,1200,timeout
xPciirDobZnPZUfjdeUu,1,eagleup,0.03,ok
xPciirDobZnPZUfjdeUu,1,sparrow,0.22,ok
xPciirDobZnPZUfjdeUu,1,marchrw,315.37,ok
xPciirDobZnPZUfjdeUu,1,mphaseSATm,0.87,ok
xPciirDobZnPZUfjdeUu,1,satime11,0.03,ok
xPciirDobZnPZUfjdeUu,1,tnm,0.09,ok
xPciirDobZnPZUfjdeUu,1,mxc09,1200,timeout
xPciirDobZnPZUfjdeUu,1,gnoveltyp2,0.13,ok
xPciirDobZnPZUfjdeUu,1,sattime,0.06,ok
xPciirDobZnPZUfjdeUu,1,sattimep,0.06,ok
xPciirDobZnPZUfjdeUu,1,clasp2,1200,timeout
xPciirDobZnPZUfjdeUu,1,clasp1,1200,timeout
xPciirDobZnPZUfjdeUu,1,picosat,1200,timeout
xPciirDobZnPZUfjdeUu,1,mphaseSAT,0.73,ok
xPciirDobZnPZUfjdeUu,1,sapperlot,1200,timeout
xPciirDobZnPZUfjdeUu,1,sol,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,ebglucose,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,ebminisat,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,glucose2,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,glueminisat,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,lingeling,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,lrglshr,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,minisatpsm,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,mphaseSAT64,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,precosat,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,qutersat,124.73,ok
MBWaZSIqgEPijOfwDbKn,1,rcl,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,restartsat,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,cryptominisat2011,106.71,ok
MBWaZSIqgEPijOfwDbKn,1,spear-sw,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,spear-hw,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,eagleup,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,sparrow,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,marchrw,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,mphaseSATm,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,satime11,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,tnm,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,mxc09,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,gnoveltyp2,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,sattime,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,sattimep,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,clasp2,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,clasp1,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,picosat,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,mphaseSAT,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,sapperlot,1200,timeout
MBWaZSIqgEPijOfwDbKn,1,sol,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,ebglucose,890.01,ok
QaZRMOKgTpsnrhXEuHBB,1,ebminisat,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,glucose2,353.05,ok
QaZRMOKgTpsnrhXEuHBB,1,glueminisat,275.24,ok
QaZRMOKgTpsnrhXEuHBB,1,lingeling,130.07,ok
QaZRMOKgTpsnrhXEuHBB,1,lrglshr,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,minisatpsm,565.69,ok
QaZRMOKgTpsnrhXEuHBB,1,mphaseSAT64,590.89,ok
QaZRMOKgTpsnrhXEuHBB,1,precosat,223.48,ok
QaZRMOKgTpsnrhXEuHBB,1,qutersat,331.59,ok
QaZRMOKgTpsnrhXEuHBB,1,rcl,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,restartsat,538.91,ok
QaZRMOKgTpsnrhXEuHBB,1,cryptominisat2011,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,spear-sw,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,spear-hw,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,eagleup,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,sparrow,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,marchrw,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,mphaseSATm,511.25,ok
QaZRMOKgTpsnrhXEuHBB,1,satime11,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,tnm,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,mxc09,1200,timeout
